round,accuracy,precision,recall,f1
82,0.6272030269839689,0.4980051567642599,0.523149149898977,0.4686183905903283
83,0.615851837100468,0.5100582914820402,0.5080585576445946,0.46444535253162866
84,0.6059942248332172,0.5001559521828018,0.5001218884785134,0.45095254320448114
85,0.607686946131634,0.4970574799523651,0.5139283694039506,0.4508917292231405
86,0.6072886587673006,0.5020228026254866,0.5054376506337324,0.4539179309052
87,0.6176441302399681,0.5147837402937026,0.5168827413762058,0.4674898445669009
88,0.5983271930697999,0.5107724292588738,0.4997668437136348,0.4587115623812709
89,0.6197351389027184,0.5076131524398237,0.5228465447571186,0.45753975557575755
90,0.5870755750273823,0.505389035218156,0.4948931386742553,0.4420876221646811
91,0.6389525042318033,0.5118610005179672,0.5308502620812445,0.47819158761186
92,0.6060937966743005,0.5275364870525625,0.5114631783748609,0.46782541205901895
93,0.6302897540575525,0.5035920867092801,0.5254510117870109,0.4643460374150555
94,0.6384546450263865,0.5257940369672002,0.5348335826141072,0.486005046975668
95,0.6307876132629693,0.516116861752225,0.5263967858381416,0.47596159604871957
96,0.6212287165189684,0.5232052494210909,0.5358371309697666,0.47177884925150476
97,0.6300906103753858,0.527271075724089,0.5310859851273352,0.48209019810816367
98,0.6348700587473862,0.5199419958422328,0.5337139570135333,0.48067790480075206
99,0.6490092601812207,0.5229827328075496,0.5429239644085684,0.49068667429512663
100,0.6577715821965548,0.5241143986291229,0.5540983301369281,0.4970508922329494
101,0.6591655879717216,0.521898969827655,0.5524826484227607,0.49714497922911355
102,0.6700189186498058,0.5331113237277262,0.5547201304046101,0.5093125396759899
103,0.6458229612665538,0.5133321483380747,0.5415959269582447,0.47943413888619385
104,0.6618540276809718,0.5303315876896467,0.5428263446759519,0.5002119617452075
105,0.6239171562282186,0.5277797143629137,0.524140039946297,0.47770457272448535
106,0.6372597829333865,0.5338349029983043,0.5377479226422975,0.48252888223679175
107,0.6511002688439709,0.5215889230501698,0.5481669734701654,0.48538358866230025
108,0.6661356168475555,0.5329486030529919,0.5607136296180174,0.5010078104982914
109,0.6633476052972219,0.5409428843825768,0.5570383071599725,0.5076319566453718
110,0.6697202031265558,0.5382030750604689,0.5639063541879488,0.5124661593634414
111,0.6491088320223041,0.5310823298536979,0.5481085576582299,0.49149936179551396
112,0.6517972717315543,0.5350004819334645,0.5492638265635088,0.4960111433757436
113,0.6933187294633077,0.5480180351589684,0.5876013074492216,0.5299593843021416
114,0.6636463208204719,0.5457971195614257,0.5611182082676089,0.5113830293035988
115,0.6853529821766404,0.5474125080463041,0.5739602192249627,0.5249327514384553
116,0.6288957482823857,0.539115012134798,0.5412071167804386,0.47671241378068296
117,0.664841182913472,0.5465874492974377,0.5616306222547218,0.5129631550836327
118,0.6842576919247237,0.5476515007056425,0.5750962367880589,0.5247020246569888
119,0.6932191576222244,0.5559091357358452,0.5802800137955835,0.5320068694444338
120,0.6448272428557204,0.5344096110073249,0.5602864185895312,0.4905642658003882
121,0.6773872348899731,0.559071519627787,0.5812010748507359,0.5294887029246141
122,0.6870457034750572,0.5527246724174543,0.5796219322488853,0.5270880346050744
123,0.6870457034750572,0.569598610210834,0.5850179774396959,0.5379021145310218
124,0.6889375684556407,0.565504925413584,0.5850402367990968,0.53795450901642
125,0.7024793388429752,0.5542172253405265,0.5883137089860186,0.5369859729549927
126,0.6904311460718908,0.5608097390222276,0.585178141971879,0.5347946439506546
127,0.6888379966145574,0.5525253368642037,0.5849657897231488,0.5262227168424565
128,0.6885392810913074,0.5530607047115231,0.5850701203165772,0.5285436555051645
129,0.7090510803544757,0.5568993763405327,0.6007207521380817,0.5441694215456433
130,0.6903315742308075,0.5603746919130657,0.587155292304235,0.5358195477576915
131,0.6942148760330579,0.5537807450643274,0.5864920662268003,0.5340376389149183
132,0.6969033157423081,0.5743343855097096,0.5887217440997823,0.5445239828776307
133,0.7053669222343921,0.5807981957819568,0.5982434502961599,0.552547737577084
134,0.6977994623120581,0.5512907933256257,0.5885305029521072,0.5311965610037079
135,0.7063626406452256,0.5598780481689477,0.5882055756838672,0.5335024520603389
136,0.6866474161107239,0.5875766171209863,0.5878611734652851,0.5459425063133911
137,0.6893358558199741,0.5596505636970917,0.5803454830552073,0.5311602709491363
138,0.7045703475057253,0.5804687593707674,0.603728024827752,0.5517595618125334
139,0.6874439908393907,0.5564963492729913,0.5841664225107923,0.5294224510338088
140,0.7088519366723091,0.5702775107468243,0.6064886482627483,0.5496613762586063
141,0.6612565966344718,0.5757781683396486,0.5637077005634038,0.5207591897258932
142,0.6814696803743902,0.5537769638843407,0.5754303982531739,0.5219763837290589
143,0.7211988449666434,0.5659702996149937,0.6076088780901033,0.5536884967548668
144,0.6713133525838892,0.5731936705562528,0.576095577269098,0.5243740896213035
145,0.6803743901224734,0.5842120796525212,0.5948717199396582,0.5411984895091188
146,0.7118390919048093,0.567065885726777,0.5967223023448562,0.5451901081971207
147,0.7156228218659763,0.571987057357456,0.604842415596043,0.5513326459218757
148,0.7180125460519765,0.5760022273627258,0.6133889804873959,0.5570762018264799
149,0.7278701583192273,0.5739644670667365,0.6162465278290269,0.5584279295320513
150,0.6991934680872249,0.5647526604901746,0.5938182499662046,0.5379369141371068
