round,accuracy,precision,recall,f1
1,0.14268644827242855,0.07772815697971204,0.1275157357447522,0.062215413410085726
2,0.15891665836901325,0.06595384319677322,0.15159629646353406,0.06265498555726887
3,0.23548740416210295,0.19129124275717194,0.21886147377809997,0.13921952764985887
4,0.20372398685651696,0.15012835943695052,0.18965276350379834,0.11026206221502066
5,0.28597032759135715,0.2038868196535143,0.24325184554403495,0.18015758323413955
6,0.2250323608483521,0.20057043413533246,0.20576766470646035,0.14019979307994407
7,0.2250323608483521,0.20376856869151133,0.21234659250489213,0.13581715572998068
8,0.2831823160410236,0.23655007928119856,0.23898780252475302,0.18773640258524582
9,0.23887284675893658,0.18726915828025792,0.21554620463223628,0.1400797671859178
10,0.28049387633177336,0.2887185202825181,0.24871202042923884,0.1835684892121009
11,0.259982077068605,0.2493342052162469,0.2316467412375429,0.163185634608685
12,0.2566962063128547,0.19050626465093806,0.23435229414257125,0.15573454124984518
13,0.28139002290152343,0.2505887937149339,0.2614909661559538,0.1885960781716107
14,0.3009061037538584,0.2748812069273288,0.2670174572208834,0.19320508784020585
15,0.21178930598426765,0.20563339797654684,0.18916460601847426,0.11607716737017641
16,0.3066812705366922,0.3354094097341852,0.28577146268457654,0.2207635285388531
17,0.2855720402270238,0.3103811073495453,0.258805409386845,0.1897563691942206
18,0.2751169969132729,0.2817593412469507,0.23992228633926171,0.17879443702798092
19,0.3383451160011949,0.3140804937261432,0.29560173846389676,0.23614745138466736
20,0.3070795579010256,0.29758745415818644,0.28234710727288825,0.21363405571164792
21,0.30767698894752565,0.33740755533534755,0.28064852534597684,0.21711639290604512
22,0.34212884596236187,0.3568502893990651,0.30464506289414395,0.23862870262011932
23,0.31006671313352585,0.35472861705340897,0.27312313015101775,0.21964391457570556
24,0.3707059643532809,0.36828519450392155,0.32768543860050114,0.2783236149670672
25,0.3314746589664443,0.3541851114314636,0.2957707509536279,0.2469792052679223
26,0.37906999900428157,0.3786521276167217,0.33558385712717337,0.28384060566876723
27,0.3912177636164493,0.3897054302761857,0.34111649365482594,0.2893487127158305
28,0.3955989246241163,0.364075207789221,0.344068301291045,0.2834351972433849
29,0.36154535497361345,0.4076065598683535,0.32960543713195656,0.27277231404728053
30,0.36124663945036345,0.3832988826162453,0.3262722135142101,0.26968446120453843
31,0.33515881708652795,0.37377371568414397,0.3096016626484782,0.24888965228466714
32,0.39071990441103255,0.398398196468572,0.34960909809542096,0.2885928781354844
33,0.36463208204719705,0.4092717478817731,0.3303252940175001,0.2760472610143446
34,0.364034651000697,0.41667947211602996,0.3347701418374406,0.2708840885409309
35,0.4180025888678682,0.43963202179886796,0.373646569975861,0.32619941682015
36,0.4264661953599522,0.4103829723847031,0.3685909412533734,0.317723255276524
37,0.4178034451857015,0.40421906415637976,0.3740691804587632,0.3014978286355356
38,0.41441800258886785,0.4275838065520997,0.35999029318973125,0.3169496310942381
